Year,Week,Day,Date,,,OT,Rec,,Opp,PF,PA,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
2014,5,Mon,October 6,8:30PM ET,W,,3-1,@,Washington Redskins,27,17,20,403,178,225,,14,307,275,32,,9.73,-3.55,2.71
2014,6,Sun,October 12,4:26PM ET,L,,3-2,,Dallas Cowboys,23,30,9,206,126,80,1,23,401,239,162,2,-8.6,-13.25,12.84
2014,7,Sun,October 19,1:00PM ET,L,,3-3,@,St. Louis Rams,26,28,25,463,292,171,,18,275,173,102,,17.4,-13.21,-8.09
2014,8,Sun,October 26,1:04PM ET,W,,4-3,@,Carolina Panthers,13,9,19,310,191,119,2,17,266,152,114,2,-0.83,9.35,-0.13
2014,9,Sun,November 2,4:26PM ET,W,,5-3,,Oakland Raiders,30,24,21,326,177,149,,17,226,189,37,3,0.2,9.4,-2.33
2014,10,Sun,November 9,4:26PM ET,W,,6-3,,New York Giants,38,17,27,510,160,350,3,20,324,270,54,2,23.2,1.57,-1.24
2014,11,Sun,November 16,1:04PM ET,L,,6-4,@,Kansas City Chiefs,20,24,25,372,168,204,,20,298,108,190,2,3.78,-8.11,-2.54
2014,12,Sun,November 23,4:06PM ET,W,,7-4,,Arizona Cardinals,19,3,16,293,169,124,,12,204,140,64,1,1.42,9.22,10.24
2014,13,Thu,November 27,8:31PM ET,W,,8-4,@,San Francisco 49ers,19,3,16,379,222,157,,16,164,100,64,3,1.22,7.67,2.93
2014,14,Sun,December 7,4:25PM ET,W,,9-4,@,Philadelphia Eagles,24,14,28,440,252,188,2,9,139,82,57,2,6.79,13.24,-5.36
2014,15,Sun,December 14,4:26PM ET,W,,10-4,,San Francisco 49ers,17,7,18,290,138,152,1,14,245,105,140,,5.13,4.13,1.75
2014,16,Sun,December 21,8:30PM ET,W,,11-4,@,Arizona Cardinals,35,6,23,596,329,267,,17,216,187,29,1,28.01,15.05,-13.23
2014,17,Sun,December 28,4:27PM ET,W,,12-4,,St. Louis Rams,20,6,17,354,222,132,2,15,245,203,42,3,-7.33,26.12,-4.14
2014,Division,Sat,January 10,8:21PM ET,W,,13-4,,Carolina Panthers,31,17,16,348,248,100,,21,362,230,132,3,13.2,1.93,1.18
2014,Conf. Champ.,Sun,January 18,3:06PM ET,W,OT,14-4,,Green Bay Packers,28,22,20,397,203,194,5,19,306,171,135,2,2.03,7.48,-5.58
2014,SuperBowl,Sun,February 1,6:30PM ET,L,,14-5,N,New England Patriots,24,28,20,396,234,162,1,25,377,320,57,2,10.4,-13.67,2.16
